sample_no,record_id,conversation_state,intent,alt_intent,secondary_intents,subtype,event_tag,note
O001,387946,issue_followup,hardware_devices,needs_more_context,,disc_drive,,stale context dropped; disc test
O002,178453,new_issue,entitlements_subscriptions_codes,,,code_redemption,battlefront2_launch_beta,beta early-access code
O003,205579,new_issue,needs_more_context,software_game_app,,,battlefront2_launch_beta,names a game beta but no problem
O004,204403,issue_followup,software_game_app,,,app,fall_update_2017,console browser video broken after update
O005,248431,issue_followup,support_process_complaint,,,,hurricane_maria,cannot use chat support; asks for another channel
O006,273313,new_issue,hardware_devices,purchases_billing_orders,,disc_drive,,console scratched a new disc
O007,295529,social_offtopic,,,,,,social; not a support request
O008,300767,issue_followup,software_game_app,hardware_devices,,game,,in-game function bug
O009,307540,new_issue,software_game_app,enforcement_safety,,app,,cannot send messages; says not suspended
O010,328760,new_issue,connectivity_xbox_live,software_game_app,,,,game servers failed to allocate
O011,332201,new_issue,connectivity_xbox_live,,,,,party error with open NAT
O012,345595,issue_followup,account_access_profile,,,,,email alias change consequences
O013,344739,issue_followup,enforcement_safety,,,,,suspension after spam reports
O014,359038,social_offtopic,,,,,,off-topic complaint about a publisher
O015,414172,new_issue,support_process_complaint,needs_more_context,,,,repeat contacts without solution; issue not stated
O016,412514,new_issue,install_download_update,software_game_app,,,battlefront2_launch_beta,beta download blocked (publisher-side)
O017,365015,issue_followup,support_process_complaint,hardware_devices,,,,are you going to help (disc issue in context)
O018,929532,issue_followup,connectivity_xbox_live,account_access_profile,,,xbox_live_outage,content and sign-in down
O019,713558,new_issue,connectivity_xbox_live,,,,xbox_live_outage,when will Live be fixed
O020,722712,acknowledgement_closing,,,,,xbox_live_outage,works again after restart (thread: connectivity)
O021,743704,new_issue,needs_more_context,,,,,image only
O022,807565,new_issue,software_game_app,needs_more_context,,game,,in-game item not visible (unclear)
O023,805812,new_issue,install_download_update,,,,,console update loops
O024,831330,acknowledgement_closing,,,,,fall_update_2017,everything works now (thread: slow after update)
O025,875284,new_issue,product_info_feedback,software_game_app,,,,app availability in the store
O026,870619,new_issue,product_info_feedback,,,,,feature request
O027,899017,new_issue,needs_more_context,support_process_complaint,,,,vague demand for help
O028,917784,new_issue,purchases_billing_orders,,,,friday13_movie_sale,purchase fails with error
