golden_id,record_id,conversation_state,intent,escalate,label_confidence,rationale,model,codebook_version,max_tokens,temperature,request_timeout_s
G001,118373,issue_followup,account_access_profile,yes,high,"The customer is following up on an unauthorized gamertag change, which indicates a potential account compromise (SECURITY).",gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G002,99058,new_issue,needs_more_context,no,high,"The user provides a link and a request for help but does not specify the problem, making the intent impossible to determine.",gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G003,169146,new_issue,enforcement_safety,no,high,The customer is asking for an explanation regarding a communication ban.,gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G005,2858533,issue_followup,hardware_devices,no,high,The customer is providing details to follow up on the previously raised hardware issue of the console turning on by itself.,gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G006,545523,new_issue,hardware_devices,no,high,"The customer reports physical noise from the console, which is categorized under hardware_devices.",gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G007,570265,issue_followup,purchases_billing_orders,yes,high,"The customer is following up on a failed purchase attempt, stating the brand's suggestion did not resolve the issue.",gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G008,565143,issue_followup,purchases_billing_orders,yes,high,"The customer is following up on a missing order/shipment issue, which is a high-risk intent requiring order-specific investigation.",gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G009,450506,new_issue,enforcement_safety,yes,high,"The customer is reporting a suspension/ban related to player conduct, which falls under enforcement_safety and requires escalation via the policy template (GENERAL_INFO).",gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G010,2713685,new_issue,product_info_feedback,no,high,"The customer is expressing a negative opinion about an app, which maps to product_info_feedback via tie-break rule S2.",gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G011,1125226,issue_followup,connectivity_xbox_live,yes,high,The customer reports that the suggested power cycle step failed and asks for clarification on the error code.,gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G012,505523,new_issue,hardware_devices,no,high,The customer is reporting a hardware issue regarding a controller that will not sync with the console.,gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G013,2897779,issue_followup,account_access_profile,yes,high,"The customer is following up on a hacked account, which triggers the account_compromised risk rule (SECURITY).",gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G014,153152,new_issue,product_info_feedback,no,high,"The customer is asking a question about hardware capabilities and compatibility, which falls under product_info_feedback.",gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G015,2630775,social_offtopic,,no,high,"The message is praise for customer service, which falls under the social_offtopic state.",gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G017,183202,new_issue,support_process_complaint,yes,high,"The message contains a complaint about support responsiveness, which has a higher default risk than the mentioned hardware issue.",gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G020,2585935,new_issue,needs_more_context,no,high,"The customer requests help with their Xbox One X but provides no specific details about the problem, making it a bare help request.",gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G021,2518613,new_issue,entitlements_subscriptions_codes,yes,high,"The customer is reporting that the game is not recognizing their ownership or license, which is an entitlement issue.",gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G022,621204,issue_followup,install_download_update,yes,high,The customer is providing more details about a failing disc installation that has already persisted despite previous troubleshooting attempts.,gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G023,513855,social_offtopic,,no,high,The message is off-topic banter/social commentary and does not contain a support request.,gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G024,2754929,new_issue,entitlements_subscriptions_codes,yes,high,"The customer is reporting that a previously purchased season pass is not being recognized, which requires an entitlement/license lookup.",gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G025,123850,issue_followup,hardware_devices,no,high,The customer is providing additional details about the hardware issue (Kinect behavior) as a follow-up to the ongoing conversation.,gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G026,2957235,new_issue,support_process_complaint,yes,high,"The customer is complaining about the support team's lack of knowledge, implying a previous contact and a high-risk support process complaint.",gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G027,2842209,issue_followup,product_info_feedback,no,high,The customer is answering the brand's request for details by clarifying their question is about cross-generation compatibility.,gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G029,565199,new_issue,hardware_devices,yes,high,The customer reports a hardware failure regarding DVD playback and uses profanity/insults directed at the brand.,gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G030,1719961,new_issue,account_access_profile,yes,high,"The customer is unable to modify their Xbox profile privacy settings to enable chat, which requires account-specific assistance.",gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G031,2654476,issue_followup,purchases_billing_orders,yes,high,"The customer is following up on a refund issue, disputing the brand's suggestion that they need to pay again for a game they already purchased.",gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G033,95023,issue_followup,install_download_update,yes,high,The customer is following up on slow download speeds and states they have already tried the suggested steps (steps_failed).,gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G034,2919017,new_issue,hardware_devices,no,high,The customer is reporting a hardware issue regarding loud noise coming from their console.,gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G035,2912012,acknowledgement_closing,,no,high,"The customer confirms the issue is resolved and expresses thanks, so no unresolved support issue remains.",gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G036,1292227,acknowledgement_closing,,no,high,"The customer confirms the issue was resolved by the chat team, so no unresolved support issue remains.",gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G037,522285,issue_followup,hardware_devices,yes,high,"The customer is following up on an existing thread by adding a new symptom: the console freezing, which falls under hardware_devices (T1).",gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G038,2818611,new_issue,purchases_billing_orders,yes,high,"The customer is reporting a failure to complete a purchase, which falls under the purchases_billing_orders intent.",gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G039,519474,new_issue,needs_more_context,no,high,The message is a bare help request that lacks sufficient detail to determine a specific intent.,gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G040,2860248,issue_followup,software_game_app,no,high,The customer is following up on the original software bug by noting the provided link is irrelevant to their specific issue.,gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G041,2698207,new_issue,software_game_app,no,high,"The customer is reporting a specific game (FIFA) freezing during startup, which is a software/app issue.",gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G042,2732139,issue_followup,hardware_devices,yes,high,The customer is following up on a hardware issue and explicitly states that the troubleshooting steps provided did not work.,gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
G043,2594918,new_issue,product_info_feedback,no,high,The customer is asking a question regarding the availability and compatibility of a specific service on the Xbox 360.,gemini/gemma-4-26b-a4b-it,v1,2048,0.0,120
